ID,Adj Close
1,237.549
2,237.293
3,238.73
4,238.259
5,240.383
6,246.063
7,242.969
8,242.304
9,243.931
10,244.941
11,247.05
12,245.308
13,249.508
14,251.989
15,254.32
16,262.869
17,270.64
18,261.643
19,263.437
20,269.463
21,266.272
22,274.023
23,276.496
24,281.654
25,283.68
26,285.3
27,293.788
28,304.618
29,313.855
30,328.015
31,314.166
32,325.431
33,361.189
34,403.417
35,411.563
36,386.354
37,374.47
38,386.482
39,373.368
40,380.257
41,336.819
42,311.084
43,338.152
44,336.753
45,332.906
46,320.166
47,330.751
48,335.094
49,334.59
50,326.149
51,322.022
52,326.927
53,324.536
54,323.046
55,320.046
56,328.206
57,352.684
58,358.042
59,357.381
60,371.294
61,377.321
62,362.488
63,359.187
64,361.046
65,363.183
66,388.949
67,388.783
68,395.536
69,415.563
70,417.563
71,415.479
72,451.938
73,434.997
74,433.755
75,444.182
76,465.321
77,454.934
78,456.078
79,463.616
80,462.322
81,442.685
82,438.639
83,436.572
84,442.401
85,454.985
86,455.653
87,417.274
88,422.823
89,422.279
90,432.983
91,426.62
92,430.567
93,434.334
94,433.438
95,430.011
96,433.091
97,431.96
98,429.105
99,458.048
100,453.23
101,447.611
102,447.991
103,448.428
104,435.69
105,432.371
106,430.306
107,364.331
108,387.536
109,382.299
110,387.168
111,380.149
112,420.23
113,410.262
114,382.492
115,387.491
116,402.971
117,391.726
118,392.153
119,394.972
120,380.289
121,379.474
122,378.255
123,368.767
124,373.056
125,374.448
126,369.949
127,389.594
128,386.549
129,376.522
130,376.62
131,373.447
132,376.029
133,381.649
134,379.654
135,384.263
136,391.86
137,407.23
138,400.185
139,407.488
140,416.322
141,422.373
142,420.785
143,437.164
144,438.798
145,437.748
146,420.736
147,424.955
148,424.544
149,432.152
150,432.519
151,433.504
152,437.697
153,435.123
154,423.989
155,421.651
156,410.939
157,400.57
158,407.707
159,414.321
160,413.972
161,414.86
162,417.131
163,421.69
164,411.624
165,414.065
166,416.438
167,416.83
168,417.011
169,420.621
170,409.548
171,410.444
172,413.755
173,413.307
174,418.089
175,418.041
176,416.394
177,417.177
178,417.945
179,426.765
180,424.231
181,416.516
182,414.816
183,416.729
184,417.96
185,420.873
186,420.904
187,421.444
188,424.03
189,423.413
190,422.745
191,420.349
192,419.411
193,421.564
194,422.483
195,425.19
196,423.734
197,424.282
198,429.713
199,430.572
200,427.399
201,428.591
202,435.509
203,441.389
204,449.425
205,445.737
206,450.282
207,458.555
208,461.426
209,466.089
210,444.687
211,449.011
212,455.097
213,448.318
214,451.875
215,444.669
216,450.304
217,446.722
218,447.976
219,459.603
220,458.536
221,458.548
222,460.483
223,450.895
224,452.728
225,454.766
226,455.67
227,455.671
228,457.568
229,454.163
230,453.783
231,454.619
232,438.715
233,442.676
234,443.188
235,439.323
236,444.155
237,445.981
238,449.599
239,453.384
240,473.464
241,530.04
242,526.233
243,533.864
244,531.386
245,536.92
246,537.972
247,569.194
248,572.727
249,574.977
250,585.537
251,576.597
252,581.645
253,574.63
254,577.47
255,606.727
256,672.784
257,704.376
258,685.559
259,694.469
260,766.308
261,748.909
262,756.227
263,763.781
264,737.226
265,666.652
266,596.116
267,623.977
268,665.299
269,665.123
270,629.367
271,655.275
272,647.001
273,639.89
274,673.337
275,676.296
276,703.702
277,658.664
278,683.662
279,670.627
280,677.331
281,640.562
282,666.523
283,650.96
284,649.36
285,647.659
286,664.551
287,654.468
288,658.078
289,663.255
290,660.767
291,679.459
292,673.106
293,672.864
294,665.685
295,665.012
296,650.619
297,655.556
298,661.285
299,654.097
300,651.784
301,654.352
302,655.035
303,656.992
304,655.047
305,624.681
306,606.272
307,547.465
308,566.355
309,578.289
310,575.043
311,587.778
312,592.69
313,591.054
314,587.801
315,592.103
316,589.12
317,587.559
318,585.588
319,570.473
320,567.24
321,577.439
322,573.216
323,574.318
324,575.63
325,581.697
326,581.308
327,586.753
328,583.415
329,580.182
330,577.761
331,579.651
332,569.947
333,573.912
334,574.107
335,577.503
336,575.472
337,572.303
338,575.537
339,598.212
340,608.634
341,606.59
342,610.436
343,614.544
344,626.316
345,622.861
346,623.509
347,606.719
348,608.243
349,609.241
350,610.684
351,607.155
352,606.973
353,605.984
354,609.874
355,609.227
356,608.312
357,597.149
358,596.298
359,602.842
360,602.625
361,600.826
362,608.043
363,606.166
364,604.728
365,605.693
366,609.735
367,613.983
368,610.892
369,612.133
370,610.204
371,612.511
372,613.021
373,617.121
374,619.108
375,616.752
376,618.994
377,641.072
378,636.192
379,636.786
380,640.378
381,638.646
382,641.631
383,639.193
384,637.96
385,630.52
386,630.857
387,632.828
388,657.294
389,657.071
390,653.761
391,657.588
392,678.304
393,688.313
394,689.651
395,714.479
396,701.864
397,700.972
398,729.793
399,740.829
400,688.7
401,703.235
402,703.418
403,711.522
404,703.131
405,709.848
406,723.273
407,715.534
408,716.411
409,705.054
410,702.031
411,705.021
412,711.619
413,744.198
414,740.977
415,751.585
416,751.616
417,731.026
418,739.248
419,751.347
420,744.594
421,740.289
422,741.649
423,735.382
424,732.035
425,735.813
426,735.604
427,745.691
428,756.774
429,777.944
430,771.155
431,773.872
432,758.7
433,764.224
434,768.132
435,770.81
436,772.794
437,774.65
438,769.731
439,780.087
440,780.556
441,781.481
442,778.088
443,784.907
444,790.829
445,790.53
