Date,Open,High,Low,Close,Adj Close,Volume,Currency Name
2017-07-23,555.885986,578.971008,411.776001,413.059998,413.059998,85013.0,Bitcoin Cash
2017-07-24,412.579987,578.892029,409.210999,440.700989,440.700989,190952.0,Bitcoin Cash
2017-07-25,441.345001,541.65802,338.091003,406.897003,406.897003,524908.0,Bitcoin Cash
2017-07-26,407.082001,486.158997,321.791992,365.81601,365.81601,1784640.0,Bitcoin Cash
2017-07-27,417.097992,460.96899400000007,367.777008,385.479004,385.479004,533207.0,Bitcoin Cash
2017-07-28,386.647003,465.181,217.059998,406.04599,406.04599,1230160.0,Bitcoin Cash
2017-07-29,410.565002,423.730988,323.730011,384.77301,384.77301,737815.0,Bitcoin Cash
2017-07-30,385.140015,385.140015,316.2520140000001,345.661011,345.661011,606695.0,Bitcoin Cash
2017-07-31,346.364014,347.825012,266.187988,294.460999,294.460999,1075960.0,Bitcoin Cash
2017-08-01,294.60199,426.109985,210.38499500000003,380.01001,380.01001,65988800.0,Bitcoin Cash
2017-08-02,382.377014,756.932007,309.334015,452.657013,452.657013,416207008.0,Bitcoin Cash
2017-08-03,448.485992,519.276978,364.048004,364.048004,364.048004,161518000.0,Bitcoin Cash
2017-08-04,362.183014,386.932007,233.046005,233.046005,233.046005,185038000.0,Bitcoin Cash
2017-08-05,231.108994,273.036011,200.977997,213.147003,213.147003,144043008.0,Bitcoin Cash
2017-08-06,212.17599500000003,223.703995,203.445007,220.656006,220.656006,107606000.0,Bitcoin Cash
2017-08-07,223.755997,373.872009,223.755997,319.6889950000001,319.6889950000001,346545984.0,Bitcoin Cash
2017-08-08,321.350006,386.294006,309.610992,345.488007,345.488007,274880000.0,Bitcoin Cash
2017-08-09,345.2799990000001,349.316986,298.608002,303.8909910000001,303.8909910000001,165032000.0,Bitcoin Cash
2017-08-10,305.210999,311.683014,274.678986,275.953003,275.953003,136636992.0,Bitcoin Cash
2017-08-11,275.881012,351.157013,275.02398700000003,328.242004,328.242004,233971008.0,Bitcoin Cash
2017-08-12,327.819,341.847992,313.70401,317.091003,317.091003,126007000.0,Bitcoin Cash
2017-08-13,316.286011,317.472992,298.053009,298.053009,298.053009,120722000.0,Bitcoin Cash
2017-08-14,296.097992,327.390015,293.497009,297.678009,297.678009,174968000.0,Bitcoin Cash
2017-08-15,298.184998,306.520996,292.8770140000001,297.864014,297.864014,133924000.0,Bitcoin Cash
2017-08-16,297.970001,307.615997,290.207001,300.209991,300.209991,106436000.0,Bitcoin Cash
2017-08-17,301.020996,460.529999,293.096008,460.529999,460.529999,744604992.0,Bitcoin Cash
2017-08-18,458.670013,764.073975,458.670013,690.23999,690.23999,3087490048.0,Bitcoin Cash
2017-08-19,697.044006,1091.969971,625.161011,754.557983,754.557983,3196229888.0,Bitcoin Cash
2017-08-20,772.4180299999998,858.960999,683.940979,712.8729860000002,712.8729860000002,1494019968.0,Bitcoin Cash
2017-08-21,723.7009889999998,756.590027,573.473022,599.63501,599.63501,1123399936.0,Bitcoin Cash
2017-08-22,596.19397,734.880005,570.27002,690.882996,690.882996,1393260032.0,Bitcoin Cash
2017-08-23,690.960022,715.6719969999998,651.317017,669.400024,669.400024,501983008.0,Bitcoin Cash
2017-08-24,670.028015,697.322021,617.310974,628.109009,628.109009,407176992.0,Bitcoin Cash
2017-08-25,627.062988,665.414978,624.2990110000002,641.054993,641.054993,348632000.0,Bitcoin Cash
2017-08-26,641.882019,646.932007,622.361023,625.320984,625.320984,193414000.0,Bitcoin Cash
2017-08-27,625.892029,654.8720089999998,589.63501,620.895996,620.895996,402718016.0,Bitcoin Cash
