Date,Open,High,Low,Close,Adj Close,Volume,Currency Name
2016-03-18,3.30715,3.30715,3.15282,3.16981,3.16981,1502010.0,Litecoin
2016-03-19,3.17078,3.19468,3.15961,3.17825,3.17825,617579.0,Litecoin
2016-03-20,3.18153,3.21036,3.17824,3.20555,3.20555,926158.0,Litecoin
2016-03-21,3.20519,3.20676,3.18803,3.20091,3.20091,507480.0,Litecoin
2016-03-22,3.20004,3.24006,3.19804,3.2347200000000003,3.2347200000000003,1265140.0,Litecoin
2016-03-23,3.2338400000000003,3.25418,3.2216,3.2428,3.2428,1703040.0,Litecoin
2016-03-24,3.24502,3.25109,3.21639,3.2247,3.2247,1394180.0,Litecoin
2016-03-25,3.22784,3.237,3.2143,3.22907,3.22907,1200290.0,Litecoin
2016-03-26,3.22772,3.23897,3.2126,3.23057,3.23057,1117430.0,Litecoin
2016-03-27,3.23182,3.32495,3.22509,3.3036,3.3036,2089890.0,Litecoin
2016-03-28,3.30291,3.30291,3.2568200000000003,3.26406,3.26406,1427140.0,Litecoin
2016-03-29,3.26176,3.283,3.1962900000000003,3.22633,3.22633,1764730.0,Litecoin
2016-03-30,3.22665,3.27702,3.20301,3.21941,3.21941,1450290.0,Litecoin
2016-03-31,3.22548,3.26648,3.2218400000000003,3.25707,3.25707,1704440.0,Litecoin
2016-04-01,3.24575,3.25515,3.23113,3.23995,3.23995,1316230.0,Litecoin
2016-04-02,3.2459,3.2757400000000003,3.24486,3.26211,3.26211,1174830.0,Litecoin
2016-04-03,3.26145,3.2747,3.2468,3.26268,3.26268,1281200.0,Litecoin
2016-04-04,3.2613,3.26842,3.22203,3.2505900000000003,3.2505900000000003,1188610.0,Litecoin
2016-04-05,3.2460400000000003,3.27108,3.2414400000000003,3.25165,3.25165,863788.0,Litecoin
2016-04-06,3.25852,3.2636,3.24275,3.25593,3.25593,1088910.0,Litecoin
2016-04-07,3.25701,3.2608900000000003,3.22778,3.24532,3.24532,1150280.0,Litecoin
2016-04-08,3.24191,3.25398,3.2144,3.22027,3.22027,1352320.0,Litecoin
2016-04-09,3.22402,3.22615,3.19817,3.2162,3.2162,1224580.0,Litecoin
2016-04-10,3.22186,3.25236,3.21168,3.22699,3.22699,1417490.0,Litecoin
2016-04-11,3.22745,3.24379,3.21385,3.2417700000000003,3.2417700000000003,1061060.0,Litecoin
2016-04-12,3.24014,3.27679,3.23145,3.25732,3.25732,1305310.0,Litecoin
2016-04-13,3.26295,3.27058,3.23603,3.23886,3.23886,1295720.0,Litecoin
2016-04-14,3.24574,3.25582,3.23376,3.23961,3.23961,1190770.0,Litecoin
2016-04-15,3.24321,3.28476,3.24153,3.27883,3.27883,1404400.0,Litecoin
2016-04-16,3.27985,3.29406,3.26827,3.27382,3.27382,1155850.0,Litecoin
2016-04-17,3.28005,3.28375,3.25147,3.2577700000000003,3.2577700000000003,1211900.0,Litecoin
2016-04-18,3.26037,3.27102,3.23918,3.24039,3.24039,1317730.0,Litecoin
