,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Crypto Name,Ticker
0,2016-03-18,0.043142281050650134,-0.26193045910222623,0.2538788667949864,0.043142281050650134,0.043142281050650134,-0.045654267479144375,-0.045654267479144375,-0.045654267479144375,0.0020672580328648486,0.0020672580328648486,0.0020672580328648486,-0.047721525512009234,-0.047721525512009234,-0.047721525512009234,0.0,0.0,0.0,-0.002511986428494241,Ripple,XRP
1,2016-03-19,0.04295293000402132,-0.25393434334641124,0.2517254847428576,0.04295293000402132,0.04295293000402132,-0.04708887597483819,-0.04708887597483819,-0.04708887597483819,0.003331558210828326,0.003331558210828326,0.003331558210828326,-0.05042043418566652,-0.05042043418566652,-0.05042043418566652,0.0,0.0,0.0,-0.004135945970816873,Ripple,XRP
2,2016-03-20,0.0427635789573925,-0.2483427533284523,0.22518545763827164,0.0427635789573925,0.0427635789573925,-0.050063080587953585,-0.050063080587953585,-0.050063080587953585,0.0029735263737518005,0.0029735263737518005,0.0029735263737518005,-0.05303660696170539,-0.05303660696170539,-0.05303660696170539,0.0,0.0,0.0,-0.007299501630561082,Ripple,XRP
3,2016-03-21,0.042574227910763686,-0.23360075426157872,0.2297177686272954,0.042574227910763686,0.042574227910763686,-0.05643376868368326,-0.05643376868368326,-0.05643376868368326,-0.000843542586588865,-0.000843542586588865,-0.000843542586588865,-0.055590226097094395,-0.055590226097094395,-0.055590226097094395,0.0,0.0,0.0,-0.013859540772919572,Ripple,XRP
4,2016-03-22,0.04238487686413488,-0.24138395767103515,0.2143723560921956,0.04238487686413488,0.04238487686413488,-0.06264076648299143,-0.06264076648299143,-0.06264076648299143,-0.004545938096421472,-0.004545938096421472,-0.004545938096421472,-0.05809482838656995,-0.05809482838656995,-0.05809482838656995,0.0,0.0,0.0,-0.02025588961885655,Ripple,XRP
5,2016-03-23,0.04219552581750606,-0.28668040102655057,0.20786946574846238,0.04219552581750606,0.04219552581750606,-0.06333544379549794,-0.06333544379549794,-0.06333544379549794,-0.0027788634313581236,-0.0027788634313581236,-0.0027788634313581236,-0.060556580364139814,-0.060556580364139814,-0.060556580364139814,0.0,0.0,0.0,-0.021139917977991876,Ripple,XRP
6,2016-03-24,0.04200617477087725,-0.258568890285448,0.2103654173151684,0.04200617477087725,0.04200617477087725,-0.06317786331894248,-0.06317786331894248,-0.06317786331894248,-0.0002039985030739618,-0.0002039985030739618,-0.0002039985030739618,-0.06297386481586852,-0.06297386481586852,-0.06297386481586852,0.0,0.0,0.0,-0.021171688548065233,Ripple,XRP
7,2016-03-25,0.041816823724248435,-0.2674697871543757,0.22741318745830122,0.04181682372424843,0.04181682372424843,-0.06326992852033221,-0.06326992852033221,-0.06326992852033221,0.00206725803286387,0.00206725803286387,0.00206725803286387,-0.06533718655319609,-0.06533718655319609,-0.06533718655319609,0.0,0.0,0.0,-0.021453104796083776,Ripple,XRP
8,2016-03-26,0.04162747267761962,-0.2578004304441542,0.23085984770402526,0.04162747267761962,0.04162747267761962,-0.06429783665806278,-0.06429783665806278,-0.06429783665806278,0.003331558210831275,0.003331558210831275,0.003331558210831275,-0.06762939486889405,-0.06762939486889405,-0.06762939486889405,0.0,0.0,0.0,-0.022670363980443163,Ripple,XRP
9,2016-03-27,0.0414381216309908,-0.28759843052031037,0.22124680747145942,0.0414381216309908,0.0414381216309908,-0.06685268348013594,-0.06685268348013594,-0.06685268348013594,0.0029735263737514263,0.0029735263737514263,0.0029735263737514263,-0.06982620985388738,-0.06982620985388738,-0.06982620985388738,0.0,0.0,0.0,-0.02541456184914514,Ripple,XRP
