,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-09-17,504.61447428473497,-524.2037057281019,2216.7214120278113,504.61447428473497,504.61447428473497,332.7083882088546,332.7083882088546,332.7083882088546,3.1244409782825997,3.1244409782825997,3.1244409782825997,329.583947230572,329.583947230572,329.583947230572,0.0,0.0,0.0,837.3228624935896
1,2014-09-18,503.8473882415437,-474.48870330668575,1976.5683199973405,503.8473882415437,503.8473882415437,291.5172950029072,291.5172950029072,291.5172950029072,-14.5277786623444,-14.5277786623444,-14.5277786623444,306.0450736652516,306.0450736652516,306.0450736652516,0.0,0.0,0.0,795.3646832444508
2,2014-09-19,503.08030219835246,-596.6361169256395,2087.8835346270944,503.08030219835246,503.08030219835246,278.7429538638927,278.7429538638927,278.7429538638927,-2.6365925773525727,-2.6365925773525727,-2.6365925773525727,281.37954644124534,281.37954644124534,281.37954644124534,0.0,0.0,0.0,781.8232560622452
3,2014-09-20,502.31321615516123,-548.8332408174329,2104.6491618787336,502.31321615516123,502.31321615516123,264.54220412332637,264.54220412332637,264.54220412332637,9.103052188773235,9.103052188773235,9.103052188773235,255.43915193455314,255.43915193455314,255.43915193455314,0.0,0.0,0.0,766.8554202784876
4,2014-09-21,501.54613011196994,-635.1650648300935,2010.917189414905,501.5461301119699,501.5461301119699,219.97071614097663,219.97071614097663,219.97071614097663,-8.14613565075966,-8.14613565075966,-8.14613565075966,228.11685179173625,228.11685179173625,228.11685179173625,0.0,0.0,0.0,721.5168462529466
5,2014-09-22,500.77904406877866,-655.9934786724643,1997.7045812545418,500.77904406877866,500.77904406877866,212.43835405005066,212.43835405005066,212.43835405005066,13.084777763141792,13.084777763141792,13.084777763141792,199.35357628690886,199.35357628690886,199.35357628690886,0.0,0.0,0.0,713.2173981188294
6,2014-09-23,500.01195802558743,-627.2763065637231,2019.7422840605307,500.01195802558743,500.01195802558743,169.14208806130378,169.14208806130378,169.14208806130378,-0.0017640398013846592,-0.0017640398013846592,-0.0017640398013846592,169.14385210110515,169.14385210110515,169.14385210110515,0.0,0.0,0.0,669.1540460868912
7,2014-09-24,499.24487198239615,-588.3098888717253,2005.381586732315,499.24487198239615,499.24487198239615,140.66449444173216,140.66449444173216,140.66449444173216,3.1244409783077316,3.1244409783077316,3.1244409783077316,137.54005346342444,137.54005346342444,137.54005346342444,0.0,0.0,0.0,639.9093664241283
8,2014-09-25,498.4777859392049,-679.3500213959632,1937.382978965795,498.4777859392049,498.4777859392049,90.12731886288886,90.12731886288886,90.12731886288886,-14.527778662328311,-14.527778662328311,-14.527778662328311,104.65509752521717,104.65509752521717,104.65509752521717,0.0,0.0,0.0,588.6051048020938
9,2014-09-26,497.7106998960137,-747.0465066895977,1848.2170062246948,497.7106998960137,497.7106998960137,68.02685046061026,68.02685046061026,68.02685046061026,-2.636592577383705,-2.636592577383705,-2.636592577383705,70.66344303799397,70.66344303799397,70.66344303799397,0.0,0.0,0.0,565.737550356624
10,2014-09-27,496.9436138528224,-816.399531071752,1879.316396720403,496.9436138528224,496.9436138528224,44.90334712890981,44.90334712890981,44.90334712890981,9.10305218878441,9.10305218878441,9.10305218878441,35.8002949401254,35.8002949401254,35.8002949401254,0.0,0.0,0.0,541.8469609817322
11,2014-09-28,496.1765278096312,-796.5640845166831,1839.3172683241667,496.1765278096312,496.1765278096312,-7.787170385056235,-7.787170385056235,-7.787170385056235,-8.146135650804391,-8.146135650804391,-8.146135650804391,0.35896526574815596,0.35896526574815596,0.35896526574815596,0.0,0.0,0.0,488.38935742457494
12,2014-09-29,495.40944176643995,-747.5250663927088,1797.6255380685684,495.40944176643995,495.40944176643995,-22.228830652353185,-22.228830652353185,-22.228830652353185,13.084777763142972,13.084777763142972,13.084777763142972,-35.31360841549616,-35.31360841549616,-35.31360841549616,0.0,0.0,0.0,473.1806111140868
13,2014-09-30,494.64235572324867,-907.2635657407444,1669.1785790126892,494.64235572324867,494.64235572324867,-70.82489740447116,-70.82489740447116,-70.82489740447116,-0.0017640397766413146,-0.0017640397766413146,-0.0017640397766413146,-70.82313336469451,-70.82313336469451,-70.82313336469451,0.0,0.0,0.0,423.81745831877754
14,2014-10-01,493.87526968005744,-880.0080765156467,1658.2106456640647,493.87526968005744,493.87526968005744,-102.61147358416709,-102.61147358416709,-102.61147358416709,3.12444097836449,3.12444097836449,3.12444097836449,-105.73591456253158,-105.73591456253158,-105.73591456253158,0.0,0.0,0.0,391.26379609589037
15,2014-10-02,493.1081836368661,-960.58050559311,1544.3589951167248,493.1081836368661,493.1081836368661,-154.1161111915097,-154.1161111915097,-154.1161111915097,-14.527778662317015,-14.527778662317015,-14.527778662317015,-139.58833252919268,-139.58833252919268,-139.58833252919268,0.0,0.0,0.0,338.99207244535637
16,2014-10-03,492.3410975936749,-1060.0066012676928,1634.1972397063585,492.3410975936749,492.3410975936749,-174.53423258032024,-174.53423258032024,-174.53423258032024,-2.6365925773896,-2.6365925773896,-2.6365925773896,-171.89764000293064,-171.89764000293064,-171.89764000293064,0.0,0.0,0.0,317.80686501335464
17,2014-10-04,491.57401155048365,-991.7483600827521,1556.5776020401545,491.57401155048365,491.57401155048365,-193.07077502578957,-193.07077502578957,-193.07077502578957,9.103052188795582,9.103052188795582,9.103052188795582,-202.17382721458515,-202.17382721458515,-202.17382721458515,0.0,0.0,0.0,298.5032365246941
